TIME,PROFIT,SYMBOL,EXCHANGE,MARKET_CAP,Basic earnings per share,Other expenses,Financial expenses,VolumeARG,Financial income,General and administration expenses,Short-term prepaid expenses,Selling expenses,Total Other Current Assets,Profit after tax,Short Term Financial Investments,Short term prepayments to suppliers,Current income tax,Short-term advances from customers,Net operating profit,Cash and cash equivalents,Short-term trade payables,Taxes and other obligations to the State Budget,Gross profit,Other short-term payables,In which: Loan interest expenses,Sales deductions,Short-term accrued expenses,LIABILITIES,Tangible fixed assets Accumulated depreciation
90,0.0,DPG,HOSE,3071228257500.0,1455.0,30781630.0,42822808782.0,994420.0,14623253808.0,20506680561.0,2375326057.0,10970155557.0,38162325322.0,132691644257.0,271826061600.0,91251909551.0,15581944920.0,705026563120.0,146313313519.0,1010312064722.0,300992531892.0,37844722882.0,205989704611.0,72283020252.0,42823726782.0,0.0,77002533379.0,4127732463791.0,-829979942726.0
90,0.0,DPM,HOSE,19018845036000.0,3183.0,86055438.0,21307483665.0,2621140.0,69017511748.0,113113526865.0,70393150755.0,236266934195.0,327599389545.0,1290759920885.0,4830000000000.0,145171001266.0,247730849302.0,123756191934.0,1629933616632.0,4798068973859.0,1284270455356.0,265965246098.0,1930127391382.0,115015657548.0,15759771999.0,37508685929.0,524666330406.0,3925807103546.0,-8906989899419.0
90,0.0,DPR,HOSE,3096000000000.0,1511.0,3509935659.0,335966909.0,136990.0,13916935013.0,21690862047.0,1692068361.0,5646974958.0,55159923325.0,73274873488.0,816744079245.0,11089878112.0,16399310384.0,19077029589.0,80806964096.0,446909746658.0,26517937408.0,16367161429.0,94563832997.0,182570977621.0,345517421.0,203532737.0,3503529026.0,1306283263592.0,-869882602573.0
90,0.0,DQC,HOSE,713753909400.0,0.0,5011615.0,1997592767.0,167950.0,1459572106.0,22640698893.0,8266325513.0,51782430379.0,52254246301.0,363845977.0,34853538963.0,70185002417.0,42593642.0,21832097697.0,-425842765.0,32861649464.0,85216204417.0,2469419278.0,81193970462.0,33674375886.0,1962547123.0,3434383992.0,41941080043.0,453478121903.0,-197051286649.0
90,0.0,DRC,HOSE,3504381847500.0,706.0,0.0,17893820939.0,457530.0,17875784612.0,0.0,36446653276.0,20850458080.0,106096839201.0,83880813387.0,355000000000.0,21457430464.0,20769862207.0,168261032920.0,103609097227.0,45676113283.0,407912962986.0,20769862207.0,204887720345.0,4766903686.0,3910407484.0,49037862277.0,53218418031.0,1632165533608.0,-2295575270623.0
90,0.0,DRH,HOSE,1255634839900.0,11.0,1135040445.0,27236299474.0,2390550.0,13962149948.0,4438720848.0,1699941849.0,0.0,28075615020.0,1578338104.0,8342326866.0,147961294643.0,5829807125.0,1017594906151.0,8441246481.0,112926993950.0,66198062987.0,29940655818.0,15040578827.0,122514045491.0,25481189572.0,0.0,67239612248.0,2155511592427.0,-1383420593.0
90,0.0,DSN,HOSE,663357194100.0,3947.0,0.0,0.0,26240.0,1502360143.0,6328401976.0,158188937.0,2628643575.0,1410741349.0,47650795552.0,209900063460.0,59095000.0,11997830337.0,3000000.0,59646760889.0,42864530250.0,4154361081.0,18282427101.0,67101446297.0,1279167603.0,0.0,0.0,0.0,55310017960.0,-77970038503.0
90,0.0,DXG,HOSE,16281787652000.0,221.0,20166657654.0,116066588064.0,10195350.0,196469780762.0,272289304389.0,67715500534.0,274560621851.0,152472617893.0,262088321230.0,153803397759.0,2891131422156.0,91928192782.0,2118988174191.0,327176438824.0,2484840814839.0,714568395492.0,906849131995.0,792952281581.0,4517984597025.0,103010614446.0,0.0,1156990793979.0,16064854333371.0,-141763391995.0
90,0.0,DXS,HOSE,7208776977500.0,426.0,10724201652.0,27887661164.0,153480.0,12122946938.0,162233097758.0,153442521340.0,255789787072.0,170590675312.0,257744965018.0,121073397759.0,754738712140.0,65083408826.0,378228631514.0,261253562827.0,1384388860202.0,283963348446.0,343981906979.0,695041161883.0,4528781347431.0,27726532645.0,0.0,317810764420.0,8695722288453.0,-62592968982.0
90,0.0,ELC,HOSE,875965779599.9999,154.0,12120322.0,45600284421.0,235520.0,39629371963.0,10274729396.0,3052726089.0,9233375025.0,8978081674.0,10712887459.0,27607113818.0,125261468645.0,2657819203.0,57349282905.0,13369811478.0,126565710876.0,98123898634.0,5043679981.0,40085437006.0,11339444658.0,251585382.0,8886261.0,1830150525.0,200927649042.0,-81741544714.0
90,0.0,EVE,HOSE,608155517200.0,291.0,61273132.0,24425096713.0,71730.0,6645086734.0,22408549228.0,4845840526.0,42117143495.0,16915584358.0,11939581098.0,221331605059.0,29846728560.0,3853090809.0,25053501964.0,15060875515.0,152951096332.0,51273164486.0,8018828196.0,97366578217.0,1618297108.0,1728538622.0,106077721.0,2621205952.0,361676148005.0,-432356581131.0
90,0.0,FCN,HOSE,2605615532750.0,96.0,1965546169.0,53685425779.0,2977600.0,10662452488.0,47173210451.0,49933820973.0,5035610649.0,246116673374.0,7906284421.0,37175818600.0,262576006593.0,2161446157.0,447566203042.0,10864681133.0,302685116413.0,753716224158.0,37730280753.0,106096475524.0,89312517355.0,52840588902.0,0.0,313737322729.0,4361728156278.0,-436742153900.0
90,0.0,FIR,HOSE,1958599158500.0,1124.0,1670646250.0,2698369712.0,318060.0,51542512.0,5670415530.0,304555095.0,25290339482.0,10546241810.0,30391134059.0,0.0,86943230671.0,7970877795.0,134629234.0,40032658104.0,10179193739.0,32100922516.0,51424344547.0,73640240316.0,138252688903.0,2698369712.0,0.0,618338888.0,421561512972.0,-7389101919.0
